Division,Placement,Skipper,Team,Total Score
B,1,Derek Poon Tip '19,George Washington University,43
B,2,Massimo Mazzolini '17,Georgetown University,52
B,3,Anders Ekholm '17,Fordham University,54
B,4,Noah Barrengos Barrengos '18,Hobart and William Smith Colleges,57
B,5,Luca Taglialegne '19,Hampton University,59
B,6,John Lawless '19,SUNY Maritime College,64
B,7,Tyler Fleig '19,U. S. Naval Academy,73
B,8,Luke Andersen '18,Cornell University,75
B,9,Clark Uhl '19,Cornell University,78
B,10,Adam DeVita '18,Columbia University,100
B,11,Anders Hudson '17,Christopher Newport University,107
B,12,Cameron Wyndham '16,Queen's University,114
B,13,James Gilmore III '19,SUNY Stony Brook,146
B,14,Jackson Dunitz '16,University of Maryland,155
B,15,Charles Christianson '17,U. S. Military Academy,166
B,16,Peter Fiala '16,University of Rochester,178
B,17,Amit Rogel '20,Rochester Institute of Technology,181
B,18,Estella Zaengle '16,SUNY Stony Brook,183
